datetime,residence,unit,todo,done,text
2026-06-29T20:44:26.838Z,AG,8,todo,done,Piscine tournée - Check algues + chlorure + stablisant
2026-06-29T22:36:59.522Z,EP,19B/90,,,"EP 19b piscine tourné, filtre nettoyé, chlore shock + 4 sticks skimmers - verifier Cl, CyA, pH"
2026-06-29T22:38:14.150Z,EP,19B/90,todo,,"Check niveau Cl, CyA, pH après traitement."
2026-06-30T09:05:26.000Z,EP,52B/46,,,A l’arrivé
2026-06-30T09:38:05.422Z,EP,52B/46,,,Chlore shock
2026-06-30T09:52:24.413Z,AG,8,,,Remplissage auto mis en goutte a goutes - linner perds l’eau
2026-06-30T09:59:31.815Z,EP,5P,,,PAS DE PISCINE
2026-06-30T10:00:04.514Z,EPP,11,,,PAS DE PICINE
2026-06-30T10:00:28.651Z,EPP,12,,,PAS DE PICINE
2026-06-30T11:46:55.041Z,EPP,7,todo,done,Vérifier 7EPP - tourne au vert
2026-06-30T12:53:21.615Z,EPP,7,todo,,Piscine tournée - remettre en état
2026-06-30T13:32:09.507Z,EPP,4,todo,,"Pas d’algues, electrolyse toujours cassé, a nettoyer avant arrivée proprio"
2026-06-30T13:42:55.887Z,EPP,3,todo,,Rechecker chlorure + lavage filtre
2026-06-30T13:59:55.433Z,EPP,7,,,7EPP - prendre niveau après shock - ph
